Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source,
isCellLine,Boolean flag indicating whether or not sample source is a cell line,,,,TRUE,experimentalData,,,
isPrimaryCell,"Boolean flag indicating whether or not cellType is primary, defined as 'A cell taken directly from a living organism, which is not immortalized'.",,,,TRUE,experimentalData,,http://purl.obolibrary.org/obo/BTO_0001413,
Schwann cell precusor,A giioblast cell that develops from a migratory neural crest cell. The SCP is embedded among neurons (axons) with minimal extracellular spaces separating them from nerve cell membranes and has no basal lamina. In rodents SCPs are the only cells in the Schwann cell linage that expresses Cdh19.,,,,FALSE,cellType,,http://purl.obolibrary.org/obo/CL_0002375,
B-lymphocytes,A lymphocyte of B lineage with the phenotype CD19-positive and surface immunoglobulin-positive.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000236,
Embryonic stem cells,Embryonic stem (ES) cells are cells derived from the inner cell mass of the early embryo that can be propagated indefinitely in the primitive undifferentiated state while remaining pluripotent.,,,,FALSE,cellType,,http://purl.obolibrary.org/obo/NCIT_C12935,
iPSC,Induced pluripotent stem cells (iPS cells or iPSCs) are a type of pluripotent stem cell artificially derived from a non-pluripotent cell.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0004905,
iPSC-derived telencephalic organoids,three-dimensional neural cultures (organoids) derived from induced pluripotent stem cells.,,,,FALSE,cellType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4519016/,
GABAergic neurons,A neuron that uses GABA as a vesicular neurotransmitter.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/zfa/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FZFA_0009276,
monocytes,"Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000576,
microglia,"The small, non-neural, interstitial cells of mesodermal origin that form part of the supporting structure of the central nervous system.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000078,
macrophages,"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000235,
astrocytes,"Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with end-feet which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000127,
SH-SY5Y,Human neuroblastoma clonal subline of the neuroepithelioma cell line SK-N-SH that had been established in 1970 from the bone marrow biopsy of a 4-year-old girl with metastatic neuroblastoma.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000793,
GLUtamatergic neurons,"Have Glutamate receptors, which are synaptic receptors located primarily on the membranes of neuronal cells. Glutamate (the conjugate base of glutamic acid) is abundant in the human body, but particularly in the nervous system and especially prominent in the human brain.",,,,FALSE,cellType,,https://en.wikipedia.org/wiki/Glutamate_receptor,
NeuN+,Is a neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.,,,,FALSE,cellType,,https://en.wikipedia.org/wiki/NeuN,
NeuN-,Is a neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.,,,,FALSE,cellType,,https://en.wikipedia.org/wiki/NeuN,
epithelial,Somatic cells that cover the surface of the body and line its cavities.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000066,
epithelial-like,"In cell morphology, epithelial-like cells are polygonal in shape with more regular dimensions, and grow attached to a substrate in discrete patches.",,,,FALSE,cellType,,https://www.thermofisher.com/us/en/home/references/gibco-cell-culture-basics/cell-morphology.html,
fibroblast,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes, appear fusiform or spindle-shaped.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000057
round,A phenotype observation at the level of the cell shape where the cell is round,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/cmpo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fcmpo%2FCMPO_0000118,
lymphoblast,"Often referred to as a blast cell. Unlike other usages of the suffix -blast a lymphoblast is a further differentiation of a lymphocyte, T- or B-, occasioned by an antigenic stimulus. The lymphoblast usually develops by enlargement of a lymphocyte, active re-entry to the S phase of the cell cycle, mitogenesis and production of much m-RNA and ribosomes.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000772,
polygonal,"A polygonal face is a polygon bounded by a circuit of polygon edges, and includes the flat (plane) region inside the boundary.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/sio/terms?iri=http%3A%2F%2Fsemanticscience.org%2Fresource%2FSIO_000503,
CD8+ T-Cells," Is a T lymphocyte (a type of white blood cell) that kills cancer cells, cells that are infected (particularly with viruses), or cells that are damaged in other ways.",,,,FALSE,cellType,,https://en.wikipedia.org/wiki/Cytotoxic_T_cell,
arachnoid,An arachnoid mater is a delicate membrane that encloses the spinal cord and brain and lies between the pia mater and dura mater.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001636,
meningioma,A central nervous system cancer tissue that are manifested in the central nervous system and arise from the arachnoid 'cap' cells of the arachnoid villi in the meninges.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_3565,
schwannoma,"A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693,
oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.,,,,FALSE,cellType,,http://purl.obolibrary.org/obo/CL_0000128,
schwann,Schwann cells are a variety of glial cell that keep peripheral nerve fibres (both myelinated and unmyelinated) alive.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001220,
iPSC-derived neuron,,,,,FALSE,cellType,,Sage Bionetworks,
iPSC-derived glia,,,,,FALSE,cellType,,Sage Bionetworks,
iPSC-derived astrocytes,,,,,FALSE,cellType,,Sage Bionetworks,
monocyte-derived microglia,,,,,FALSE,cellType,,Sage Bionetworks,
iPSC-derived neuronal progenitor cell,,,,,FALSE,cellType,,Sage Bionetworks,
CD138+,,,,,FALSE,cellType,,,
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium,,,,FALSE,cellType,,https://www.synapse.org/#!Synapse:syn4590897,
cellType,A cell type is a distinct morphological or functional form of cell.,"Schwann cell precusor, B-lymphocytes, Embryonic stem cells, iPSC, iPSC-derived telencephalic organoids, GABAergic neurons, monocytes, microglia, macrophages, astrocytes, SH-SY5Y, GLUtamatergic neurons, NeuN+, NeuN-, epithelial, epithelial-like, fibroblast, round, lymphoblast, polygonal, CD8+ T-Cells, arachnoid, meningioma, schwannoma, oligodendrocyte, schwann, iPSC-derived neuron, iPSC-derived glia, iPSC-derived astrocytes, monocyte-derived microglia, iPSC-derived neuronal progenitor cell, CD138+, CNON",,,TRUE,experimentalData,,,
Bladder Cancer,A malignancy originating in tissues of the urinary bladder.,,,,FALSE,diagnosis,,http://identifiers.org/omim/109800,
Leukemia,"A malignant (clonal) hematologic disorder, involving hematopoietic stem cells and characterized by the presence of primitive or atypical myeloid or lymphoid cells in the bone marrow and the blood. Leukemias are classified as acute or chronic based on the degree of cellular differentiation and the predominant cell type present. Leukemia is usually associated with anemia, fever, hemorrhagic episodes, and splenomegaly.",,,,FALSE,diagnosis,,http://purl.obolibrary.org/obo/NCIT_C3161,
Tourette Syndrome,Neurologic disorder manifested particularly by motor and vocal tics and associated with behavioral abnormalities. ,,,,FALSE,diagnosis,,http://identifiers.org/omim/137580,
Neurofibromatosis 1,"(NF1) - A disease characterized by patches of skin pigmentation (cafe-au-lait spots), Lisch nodules of the iris, tumors in the peripheral nervous system and fibromatous skin tumors. Individuals with the disorder have increased susceptibility to the development of benign and malignant tumors.",,,,FALSE,diagnosis,,,
Neurofibromatosis 2,"(NF2) - Genetic disorder characterized by bilateral vestibular schwannomas (formerly called acoustic neuromas), schwannomas of other cranial and peripheral nerves, meningiomas, and ependymomas. It is inherited in an autosomal dominant fashion with full penetrance.",,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F101000,
Bipolar Disorder,"A mood disorder formerly characterised by alternating periods of mania and depression (and in some cases rapid cycling, mixed states, and psychotic symptoms).",,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/nbo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNBO_0000258,
Alzheimer Disease,"(AD) - Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits.",,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F104300,
Schizophrenia,"A severe emotional disorder of psychotic depth characteristically marked by a retreat from reality with delusion formation, HALLUCINATIONS, emotional disharmony, and regressive behavior.",,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000692,
Autism Spectrum Disorder,"Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors.",,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0003756,
Fibrocystic Breast Disease,breast fibrocystic disease is a benign mammary displasia characterised by breast discomfort and 'lumpiness'.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0003014,
Breast Cancer,(BC) - A common malignancy originating from breast epithelial tissue.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F114480,
Colon Cancer,A colorectal cancer that is located_in the colon.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_219,
Lung Cancer,A respiratory system cancer that is located_in the lung.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1324,
Prostate Cancer,A male reproductive organ cancer that is located_in the prostate.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_10283,
Pancreatic Cancer,An endocrine gland cancer located_in the pancreas.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1793,
Skin Cancer,An integumentary system cancer located_in the skin that is the uncontrolled growth of abnormal skin cells.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_4159,
Brain Cancer,A central nervous system cancer that is characterized by the growth of abnormal cells in the tissues of the brain.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1319,
Ovary Cancer,An ovarian cancer that is derives_from ovarian surface epithelium.,,,,FALSE,diagnosis,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_2152,
Affective Disorder,Change in mood is the main underlying feature of these disorders.,,,,FALSE,diagnosis,,Sage Bionetworks,
Cervical Cancer," A malignant neoplasm of the cervix, typically originating from a dysplastic or premalignant lesion previously present at the active squamocolumnar junction. The transformation from mild dysplastic to invasive carcinoma generally occurs slowly within several years, although the rate of this process varies widely.",,,,FALSE,diagnosis,,http://identifiers.org/omim/603956,
Juvenile Myelomonocytic Leukemia,"A myelodysplastic/myeloproliferative neoplasm of childhood that is characterized by proliferation principally of the granulocytic and monocytic lineages. Myelomonocytic proliferation is seen in the bone marrow and the blood. The leukemic cells may infiltrate any tissue, however liver, spleen, lymph nodes, skin, and respiratory tract are the most common sites of involvement.",,,,FALSE,diagnosis,,http://purl.obolibrary.org/obo/NCIT_C9233,
progressive supranuclear palsy,"A movement disease that is characterized by serious and progressive problems with control of gait and balance, along with complex eye movement and thinking problems. It involves gradual deterioration and death of specific volumes of the brain.",,,,FALSE,diagnosis,,http://purl.obolibrary.org/obo/DOID_678,
mild cognitive impairment,Diminished or impaired mental and/or intellectual function.,,,,FALSE,diagnosis,,http://purl.obolibrary.org/obo/OMIT_0027843,
diagnosis,A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.,"Bladder Cancer, Leukemia, Tourette Syndrome, Neurofibromatosis 1, Neurofibromatosis 2, Bipolar Disorder, Alzheimer Disease, Schizophrenia, Autism Spectrum Disorder, Fibrocystic Breast Disease, Breast Cancer, Colon Cancer, Lung Cancer, Prostate Cancer, Pancreatic Cancer, Skin Cancer, Brain Cancer, Ovary Cancer, Affective Disorder, Not Applicable, Cervical Cancer, Juvenile Myelomonocytic Leukemia, progressive supranuclear palsy, mild cognitive impairment",,,TRUE,experimentalData,,,
isMultiIndividual,Boolean flag indicating whether or not a file has data for multiple individuals,,,,TRUE,experimentalData,,,
isMultiSpecimen,Boolean flag indicating whether or not a file has data for multiple specimens,,,,TRUE,experimentalData,,,
specimenIdSource,,,,,TRUE,experimentalData,,,
male,,,,,FALSE,sex,,,
female,,,,,FALSE,sex,,,
sex,"Sex assigned at birth, or by sequencing","male, female",,,TRUE,experimentalData,,,
cellLine,Identifying string linked to a particular cell line,,,,TRUE,experimentalData,,,
cellLineSource,"Identifying source of cell line, such as ATCC site",,,,TRUE,experimentalData,,,
Human,Homo sapiens with taxonomy ID: 9606 and Genbank common name: human,,,,FALSE,species,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock,
Mouse,Mus musculus with taxonomy ID: 10090 and Genbank common name: house mouse,,,,FALSE,species,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock,
Rat,Rattus with taxonomy ID: 10114 and inherited blast name: rodents,,,,FALSE,species,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10114&lvl=3&lin=f&keep=1&srchmode=1&unlock,
Drosophila melanogaster,Drosophila melanogaster with taxonomy ID: 7227 and Genbank common name: fruit fly,,,,FALSE,species,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7227&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&p=mapview&lin=f&keep=1&srchmode=1&unlock,
Rhesus macaque,Macaca mulatta with taxonomy ID: 9544 and Genbank common name: Rhesus monkey,,,,FALSE,species,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9544&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&p=mapview&lin=f&keep=1&srchmode=1&unlock,
Pan troglodytes,Pan troglodytes with taxonomy ID: 9598 and Genbank common name: chimpanzee,,,,FALSE,species,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock,
Gallus gallus,"The common domestic fowl, Chicken.",,,,FALSE,species,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9031,
Sus scrofa,Sus scrofa with taxonomy ID: 9823 and Genbank common name: pig,,,,FALSE,species,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9823,
species,The name of a species (typically a taxonomic group) of organism.,"Human, Mouse, Rat, Drosophila melanogaster, Rhesus macaque, Pan troglodytes, Gallus gallus, Sus scrofa",,,TRUE,experimentalData,,,
terminalDifferentiationPoint,The terminal differentiation point (TD) of a cell in days.,,,,TRUE,experimentalData,,,
failedQC,Boolean flag indicating whether the sample or data failed QC checks,"True, False",,,TRUE,experimentalData,,,
cancer,,,,,FALSE,,,,
cellSubType,"This term is to be used when cell type is not specific enough, such as certain classes of T cells",,,,TRUE,cancer,,,
transplantationRecipientTissue,"In the case of a transplate, this describes the transplant destination",,,,TRUE,cancer,,,
allograft,"Tissues, cells, or organs transplanted between genetically different individuals of the same species",,,,FALSE,transplantationType,,https://www.ncbi.nlm.nih.gov/mesh/68064591,
xenograft,"Tissues, cells or organs transplanted between animals of different species",,,,FALSE,transplantationType,,https://www.ncbi.nlm.nih.gov/mesh/68064593,
autograft,"Transplant comprised of an individual's own tissue, transferred from one part of the body to another.",,,,FALSE,transplantationType,,https://www.ncbi.nlm.nih.gov/mesh/68064592,
isograft,"Tissues, cells or organs transplanted between genetically identical individuals",,,,FALSE,transplantationType,,https://www.ncbi.nlm.nih.gov/mesh/68064596,
transplantationType,"Type of transplantation involved in the experiment, derived from MESH","allograft, xenograft, autograft, isograft",,,TRUE,cancer,,,
overexpression,Gene overexpression refers to genetic techniques in which an organism or cell line is engineered to express increased levels of a gene.,,,,FALSE,genePerturbationType,,http://www.bioassayontology.org/bao#BAO_0002442,
knockdown,"Gene knockdown refers to techniques by which the expression of one or more of an organism's genes is reduced, either through genetic modification (a change in the DNA of one of the organism's chromosomes) or by treatment with a reagent such as a short DNA or RNA oligonucleotide with a sequence complementary to either an mRNA transcript or a gene.",,,,FALSE,genePerturbationType,,http://www.bioassayontology.org/bao#BAO_0002433,
knockout,A gene knockout is a genetic technique in which an organism is engineered to carry genes that have been made inoperative (have been 'knocked out' of the organism).,,,,FALSE,genePerturbationType,,http://www.bioassayontology.org/bao#BAO_0002441,
genePerturbationType,Specific way in which a single gene was perturbed in a sample,"overexpression, knockdown, knockout",,,TRUE,cancer,,,
RNAi,High throughput sample analysis of RNAi molecules for potential application in gene knockdown or gene silencing of target genes,,,,FALSE,genePerturbationTechnology,,http://purl.obolibrary.org/obo/ERO_0001688,
CRISPR,,,,,FALSE,genePerturbationTechnology,,,
CRE Recombinase,CRE Recombinase catalyses site-specific recombination between two 34 base pair loxp sites and maintains the phage genome as a monomeric unit-copy plasmid in the lysogenic state.,,,,FALSE,genePerturbationTechnology,,http://purl.obolibrary.org/obo/NCIT_C17285,
genePerturbationTechnology,Technology used to perform gene perturbation,"RNAi, CRISPR, CRE Recombinase",,,TRUE,cancer,,,
hours,,,,,FALSE,timePointUnit,,,
days,,,,,FALSE,timePointUnit,,,
timePointUnit,For timed experiments this represents the unit of time measured,"hours, days",,,TRUE,cancer,,,
Human,,,,,FALSE,transplantationRecipientSpecies,,,
Mouse,,,,,FALSE,transplantationRecipientSpecies,,,
transplantationRecipientSpecies,Species into which donor tissue was grown,"Human, Mouse",,,TRUE,cancer,,,
experimentalCondition,"This describes the condition under which the data were collected, designed to be free form, extra things that do not fit in pre-defined terms",,,,TRUE,cancer,,,
experimentalTimePoint,Number describing time point at which data was collected,,,,TRUE,cancer,,,
genePerturbed,"In the case of gene modulation, this describes the gene or genes that were modulated",,,,TRUE,cancer,,,
transplantationDonorTissue,,,,,TRUE,cancer,,,
Cutaneous Neurofibroma,A neurofibroma that grows along small branches of nerves in the dermis in patients with neurofibromatosis. It presents as a solid cutaneous tumor.,,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/NCIT_C128451,
Plexiform Neurofibroma,"An elongated and multinodular neurofibroma, formed when the tumor involves either multiple trunks of a plexus or multiple fascicles of a large nerve, such as the sciatic. Some plexiform neurofibromas resemble a bag of worms, others produce a massive ropy enlargement of the nerve.",,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/NCIT_C3797,
Atypical Neurofibroma,A neurofibroma characterized by the presence of cellular pleomorphism.,,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/NCIT_C41426,
Malignant Peripheral Nerve Sheath Tumor,"The tumors usually develop along peripheral or cranial nerves and are a central feature of NEUROFIBROMATOSIS 1, where they may occur intracranially or involve spinal roots.",,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/NCIT_C3798,
Adenocarcinoma,"A common cancer characterized by the presence of malignant glandular cells. Morphologically, adenocarcinomas are classified according to the growth pattern (e.g., papillary, alveolar) or according to the secreting product (e.g., mucinous, serous).",,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C2852,
Carcinoma,A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_305,
Ductal Carcinoma,"Invasive ductal carcinoma (IDC), an infiltrating, malignant and abnormal proliferation of neoplastic cells in the breast tissue, or ductal carcinoma in situ (DCIS), a noninvasive, possibly malignant, neoplasm that is still confined to the milk ducts (lactiferous ducts), where breast cancer most often originates.",,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004851,
Melanoma,"A malignant, usually aggressive tumor composed of atypical, neoplastic melanocytes.",,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C3224,
Glioma,"A benign or malignant brain and spinal cord tumor that arises from glial cells (astrocytes, oligodendrocytes, ependymal cells). Tumors that arise from astrocytes are called astrocytic tumors or astrocytomas. Tumors that arise from oligodendrocytes are called oligodendroglial tumors. Tumors that arise from ependymal cells are called ependymomas.",,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/MONDO_0021042,
Low Grade Glioma,Low grade gliomas are brain tumors that come from two different types of brain cells known as astrocytes and oligodendrocytes.,,,,FALSE,tumorType,,https://www.urmc.rochester.edu/neurosurgery/specialties/neurooncology/conditions/low-grade-glioma.aspx,
Diffuse Astrocytoma,Also called Low-Grade or Astrocytoma Grade II is a subtype of glial tumor of the brain or spinal cord showing astrocytic differentiation.,,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000272,
Anaplastic Astrocytoma,"A diffusely infiltrating, WHO grade III astrocytoma with focal or dispersed anaplasia, and a marked proliferative potential. It may arise from a low-grade astrocytoma, but it can also be diagnosed at first biopsy, without indication of a less malignant precursor lesion. It has an intrinsic tendency for malignant progression to glioblastoma.",,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0002499,
Glioblastoma,"Develop primarily through increasing anaplasia of well differentiated gliomas, mainly astrocytomas or oligodendrogliomas. Typically large and contain cells of different sizes with irrregular nuclei and atypical mitotic figures.",,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/mpath/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMPATH_564,
Schwannoma,"A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves. ",,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693,
Lymphoblastic Lymphoma,A lymphoma composed of immature small to medium-sized precursor lymphoid cells (lymphoblasts). It includes the B- and T-cell lymphoblastic lymphoma.,,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/NCIT_C9360,
Meningioma,A generally slow growing tumor attached to the dura mater. It is composed of neoplastic meningothelial (arachnoidal) cells.,,,,FALSE,tumorType,,https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C3230,
Myeloma,"A bone marrow cancer that is formed of any one of the bone marrow cells belonging to the granulocytic (neutrophil, eosinophil, basophil), monocytic/macrophage, erythroid, megakaryocytic and mast cell lineages.",,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/DOID_0070004,
T Acute Lymphoblastic Leukemia,Acute lymphoblastic leukemia of T-cell origin. It comprises about 15% of childhood cases and 25% of adult cases. ,,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/NCIT_C3183,
chronic lymphocytic leukemia,A lymphoblastic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood. ,,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/DOID_1040,
Acute Myeloid Leukemia,"A clonal expansion of myeloid blasts in the bone marrow, blood or other tissues.",,,,FALSE,tumorType,,http://purl.obolibrary.org/obo/NCIT_C3171,
tumorType,The type of cells that carcinoma arises from.,"Cutaneous Neurofibroma, Plexiform Neurofibroma, Atypical Neurofibroma, Malignant Peripheral Nerve Sheath Tumor, Adenocarcinoma, Carcinoma, Ductal Carcinoma, Melanoma, Glioma, Low Grade Glioma, Diffuse Astrocytoma, Anaplastic Astrocytoma, Glioblastoma, Schwannoma, Lymphoblastic Lymphoma, Meningioma, Myeloma, Not Applicable, T Acute Lymphoblastic Leukemia, chronic lymphocytic leukemia, Acute Myeloid Leukemia",,,TRUE,cancer,,,
neuro,,,,,FALSE,,,,
BrodmannArea,A segmentation of the cerebral cortex on the basis of cytoarchitecture,,,,TRUE,neuro,,,
isConsortiumAnalysis,Collaborative consortium analysis,,,,TRUE,neuro,,,
grant,"Grant number including activity code, institute code, and serial number (e.g. U01MH103392)",,,,TRUE,neuro,,,
3Dchromatin,The neuronal and glial 3D chromatin architecture study,,,,FALSE,study,,https://www.synapse.org/#!Synapse:syn21754060,
MCSA,Mayo Clinic study of aging.,,,,FALSE,study,,https://www.synapse.org/#!Synapse:syn22024536,
