Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source
H3K9me3,,,,,FALSE,assayTarget,,
input,,,,,FALSE,assayTarget,,
REST,,,,,FALSE,assayTarget,,
batch,TMT proteomics batch,,,,FALSE,PsychENCODE,,
batchChannel,TMT channel the sample is labeled with,,,,FALSE,PsychENCODE,,
BMI,Body Mass Index,,,,FALSE,PsychENCODE,,
braak,Braak stage,"Braak Stage 1, Braak Stage 2, Braak Stage 3, Braak Stage 4, Braak Stage 5, Braak Stage 6",,,FALSE,PsychENCODE,,
Braak Stage 1,,,,,FALSE,braak,,
Braak Stage 2,,,,,FALSE,braak,,
Braak Stage 3,,,,,FALSE,braak,,
Braak Stage 4,,,,,FALSE,braak,,
Braak Stage 5,,,,,FALSE,braak,,
Braak Stage 6,,,,,FALSE,braak,,
BrodmannArea,A segmentation of the cerebral cortex on the basis of cytoarchitecture,,,,FALSE,PsychENCODE,,
catalogNumber,"The identifier assigned to a product, usually in the list of products published by a reseller or manufacturer",,,,FALSE,PsychENCODE,,
causeOfDeath,The specific injury or disease that lead to death,,,,FALSE,PsychENCODE,,
CDR,Clinical Dementia Rating,"0 - None, 0.5 - Very mild, 1 - Mild, 2 - Moderate, 3 - Severe",,,FALSE,PsychENCODE,,
0 - None,,,,,FALSE,CDR,,
0.5 - Very mild,,,,,FALSE,CDR,,
1 - Mild,,,,,FALSE,CDR,,
2 - Moderate,,,,,FALSE,CDR,,
3 - Severe,,,,,FALSE,CDR,,
cellType,A cell type is a distinct morphological or functional form of cell.,"arachnoid, astrocytes, B-lymphocytes, CD138+, CD8+ T-Cells, CNON, Embryonic stem cells, epithelial, epithelial-like, fibroblast, GABAergic neurons, GLUtamatergic neurons, iPSC, iPSC-derived astrocytes, iPSC-derived glia, iPSC-derived neuron, iPSC-derived neuronal progenitor cell, iPSC-derived telencephalic organoids, lymphoblast, macrophages, meningioma, microglia, monocyte-derived microglia, monocytes, NeuN-, NeuN+, oligodendrocyte, polygonal, round, schwann, Schwann cell precusor, schwannoma, SH-SY5Y",,,FALSE,PsychENCODE,,
arachnoid,An arachnoid mater is a delicate membrane that encloses the spinal cord and brain and lies between the pia mater and dura mater.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001636
astrocytes,"Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with end-feet which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000127
B-lymphocytes,A lymphocyte of B lineage with the phenotype CD19-positive and surface immunoglobulin-positive.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000236
CD138+,,,,,FALSE,cellType,,
CD8+ T-Cells," A T lymphocyte (a type of white blood cell) that kills cancer cells, cells that are infected (particularly with viruses), or cells that are damaged in other ways.",,,,FALSE,cellType,,https://en.wikipedia.org/wiki/Cytotoxic_T_cell
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium,,,,FALSE,cellType,,https://www.synapse.org/#!Synapse:syn4590897
Embryonic stem cells,Embryonic stem (ES) cells are cells derived from the inner cell mass of the early embryo that can be propagated indefinitely in the primitive undifferentiated state while remaining pluripotent.,,,,FALSE,cellType,,http://purl.obolibrary.org/obo/NCIT_C12935
epithelial,Somatic cells that cover the surface of the body and line its cavities.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000066
epithelial-like,"In cell morphology, epithelial-like cells are polygonal in shape with more regular dimensions, and grow attached to a substrate in discrete patches.",,,,FALSE,cellType,,https://www.thermofisher.com/us/en/home/references/gibco-cell-culture-basics/cell-morphology.html
fibroblast,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000057
GABAergic neurons,A neuron that uses GABA as a vesicular neurotransmitter.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/zfa/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FZFA_0009276
GLUtamatergic neurons,"Have Glutamate receptors, which are synaptic receptors located primarily on the membranes of neuronal cells. Glutamate (the conjugate base of glutamic acid) is abundant in the human body, but particularly in the nervous system and especially prominent in the human brain.",,,,FALSE,cellType,,https://en.wikipedia.org/wiki/Glutamate_receptor
iPSC,Induced pluripotent stem cells (iPS cells or iPSCs) are a type of pluripotent stem cell artificially derived from a non-pluripotent cell.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0004905
iPSC-derived astrocytes,,,,,FALSE,cellType,,Sage Bionetworks
iPSC-derived glia,,,,,FALSE,cellType,,Sage Bionetworks
iPSC-derived neuron,,,,,FALSE,cellType,,Sage Bionetworks
iPSC-derived neuronal progenitor cell,,,,,FALSE,cellType,,Sage Bionetworks
iPSC-derived telencephalic organoids,three-dimensional neural cultures (organoids) derived from induced pluripotent stem cells.,,,,FALSE,cellType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4519016/
lymphoblast,"Often referred to as a blast cell. Unlike other usages of the suffix -blast a lymphoblast is a further differentiation of a lymphocyte, T- or B-, occasioned by an antigenic stimulus. The lymphoblast usually develops by enlargement of a lymphocyte, active re-entry to the S phase of the cell cycle, mitogenesis and production of much m-RNA and ribosomes.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000772
macrophages,"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000235
meningioma,A central nervous system cancer tissue that are manifested in the central nervous system and arise from the arachnoid 'cap' cells of the arachnoid villi in the meninges.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_3565
microglia,"The small, non-neural, interstitial cells of mesodermal origin that form part of the supporting structure of the central nervous system.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000078
monocyte-derived microglia,,,,,FALSE,cellType,,Sage Bionetworks
monocytes,"Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000576
NeuN-,A neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.,,,,FALSE,cellType,,https://en.wikipedia.org/wiki/NeuN
NeuN+,A neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.,,,,FALSE,cellType,,https://en.wikipedia.org/wiki/NeuN
oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.,,,,FALSE,cellType,,http://purl.obolibrary.org/obo/CL_0000128
polygonal,"A polygonal face is a polygon bounded by a circuit of polygon edges, and includes the flat (plane) region inside the boundary.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/sio/terms?iri=http%3A%2F%2Fsemanticscience.org%2Fresource%2FSIO_000503
round,A phenotype observation at the level of the cell shape where the cell is round,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/cmpo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fcmpo%2FCMPO_0000118
schwann,Schwann cells are a variety of glial cell that keep peripheral nerve fibres (both myelinated and unmyelinated) alive.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001220
Schwann cell precusor,A glioblast cell that develops from a migratory neural crest cell. The SCP is embedded among neurons (axons) with minimal extracellular spaces separating them from nerve cell membranes and has no basal lamina. In rodents SCPs are the only cells in the Schwann cell linage that expresses Cdh19.,,,,FALSE,cellType,,http://purl.obolibrary.org/obo/CL_0002375
schwannoma,"A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves.",,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693
SH-SY5Y,Human neuroblastoma clonal subline of the neuroepithelioma cell line SK-N-SH that had been established in 1970 from the bone marrow biopsy of a 4-year-old girl with metastatic neuroblastoma.,,,,FALSE,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000793
chromatinAmount,Amount of chromatin used for an assay,,,,FALSE,PsychENCODE,,
consortium,The name of the consortium,PEC,,,FALSE,PsychENCODE,,
PEC,PsychENCODE,,,,FALSE,consortium,,
controlType,Control samples suitable for normalization and batch correction,GIS,,,FALSE,PsychENCODE,,
GIS,Global Internal Standard - a specific control for TMT multi-batch proteomic experiments,,,,FALSE,controlType,,
dataType,Types of input/output data in bioinformatics pipelines,"behavior process, cellularPhysiology, chromatinActivity, clinical, drugCombinationScreen, drugScreen, electrophysiology, geneExpression, genomicVariants, image, immunoassay, isoformExpression, kinomics, metabolomics, network, Pharmacokinetic Study, proteomics, surveyData, Volume, Weight",,,FALSE,PsychENCODE,,
behavior process,"The action, reaction, or performance of an organism in response to external or internal stimuli.",,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NBO_0000313
cellularPhysiology,,,,,FALSE,dataType,,
chromatinActivity,Chromatin activity that allow access of condensed genomic DNA and potentially control gene expression.,,,,FALSE,dataType,,https://en.wikipedia.org/wiki/Chromatin_remodeling
clinical,Data obtained through patient examination or treatment.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C15783
drugCombinationScreen,Information on drug sensitivity of more than one compound,,,,FALSE,dataType,,https://www.ncbi.nlm.nih.gov/pubmed/29344898
drugScreen,Information on drug sensitivity and molecular markers of drug response,,,,FALSE,dataType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/
electrophysiology,Data generated from an electrophysiology assay.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/ERO_0000564
geneExpression,The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.,,,,FALSE,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0203
genomicVariants,"Genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.",,,,FALSE,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Foperation_3227
image,Biological or biomedical data that has been rendered into an image.,,,,FALSE,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2968
immunoassay,Laboratory test involving interaction of antigens with specific antibodies.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C16723
isoformExpression,Expression of protien isoforms formed from alternative splicings or other post-translational modifications of a single gene through RNA splicing mechanisms.,,,,FALSE,dataType,,https://en.wikipedia.org/wiki/Protein_isoform
kinomics,Kinomics is the study of protein kinases and protein kinase signaling.,,,,FALSE,dataType,,http://www.kinomecore.com/what-is-kinomics/
metabolomics,"The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism.",,,,FALSE,dataType,,http://edamontology.org/topic_3172
network,An interconnected system of things or people.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C61377
Pharmacokinetic Study,"A study of the process by which a drug is absorbed, distributed, metabolized, and eliminated by the body.",,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C49663
proteomics,"Protein and peptide identification, especially in the study of whole proteomes of organisms.",,,,FALSE,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121
surveyData,A data set that contains the outcome of a survey.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/OMIABIS_0000060
Volume,The amount of three dimensional space occupied by an object or the capacity of a space or container.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C25335
Weight,The vertical force exerted by a mass as a result of gravity.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C25208
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","dataMatrix, metadata, normalized, processed, raw",,,FALSE,PsychENCODE,,
dataMatrix,A file of data containing multiple values for multiple samples.,,,,FALSE,dataSubtype,,
metadata,"A file of clinical, technical, or other parameters that describe a dataset.",,,,FALSE,dataSubtype,,
normalized,A data set that is produced as the output of a normalization data transformation.,,,,FALSE,dataSubtype,,http://purl.obolibrary.org/obo/OBI_0000451
processed,A file of data generated from running one or more bioinformatics methods on a raw file.,,,,FALSE,dataSubtype,,
raw,"A data file produced by an instrument, or one with very little subsequent processing.",,,,FALSE,dataSubtype,,
dateOfBirth,Individual date of birth,,,,FALSE,PsychENCODE,,
dateOfDeath,Individual date of death,,,,FALSE,PsychENCODE,,
dementia,Is dementia present,,,,FALSE,PsychENCODE,,
dnaBatch,DNA isolation batch,,,,FALSE,PsychENCODE,,
familyHistory,Is there a family history of the disorder/disease,"TRUE, FALSE, Unknown",,,FALSE,PsychENCODE,,
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","7z, ab1, abf, avi, bai, bam, bash script, bcf, bed, bed broadPeak, bed gappedPeak, bed narrowPeak, bedgraph, bgzip, bigwig, bpm, cel, chp, csv, czi, dat, DICOM, doc, dup, excel, fasta, fastq, fig, flagstat, gct, gff3, gtf, gzip, hdf, hic, html, hyperlink, idat, idx, jpg, json, locs, maf, md, mov, msf, mtx, pdf, plink, png, powerpoint, Python script, pzfx, R script, raw, RData, recal, rmd, sam, sav, sdf, seg, Sentrix descriptor file, sif, sqlite, sra, svg, svs, Synapse Table, tagAlign, tar, tif, tranches, tsv, txt, vcf, wiggle, xml, zip",,,FALSE,PsychENCODE,,
7z,"A compressed archive file format that supports several different data compression, encryption and pre-processing filters.",,,,FALSE,fileFormat,,http://purl.obolibrary.org/obo/NCIT_C80224
ab1,TAB1 binary format of raw DNA sequence reads (output of Applied Biosystems' sequencing analysis software). Contains an electropherogram and the DNA base sequence.,,,,FALSE,fileFormat,,http://edamontology.org/format_3000
abf,The Axon™ Binary File format (ABF) was created for the storage of binary experimental data.,,,,FALSE,fileFormat,,https://mdc.custhelp.com/euf/assets/content/ABFHelp.pdf
avi,AVI files can contain both audio and video data in a file container that allows synchronous audio-with-video playback.,,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/Audio_Video_Interleave
bai,BAM indexing format,,,,FALSE,fileFormat,,http://edamontology.org/format_3327
bam,"BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s)",,,,FALSE,fileFormat,,http://edamontology.org/format_2572
bash script,Bash Shell Script,,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/Shell_script
bcf,"BCF, the binary version of Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation)",,,,FALSE,fileFormat,,http://edamontology.org/format_3016
bed,"Browser Extensible Data (BED) format of sequence annotation track, typically to be displayed in a genome browser",,,,FALSE,fileFormat,,http://edamontology.org/format_3003
bed broadPeak,"This format is used to provide called regions of signal enrichment based on pooled, normalized (interpreted) data. It is a BED 6+3 format.",,,,FALSE,fileFormat,,http://genome.ucsc.edu/FAQ/FAQformat.html#format13
bed gappedPeak,"This format is used to provide called regions of signal enrichment based on pooled, normalized (interpreted) data where the regions may be spliced or incorporate gaps in the genomic sequence. It is a BED12+3 format.",,,,FALSE,fileFormat,,http://genome.ucsc.edu/FAQ/FAQformat.html#format14
bed narrowPeak,"This format is used to provide called peaks of signal enrichment based on pooled, normalized (interpreted) data. It is a BED6+4 format.",,,,FALSE,fileFormat,,http://genome.ucsc.edu/FAQ/FAQformat.html#format12
bedgraph,Holds a tab-delimited chromosome /start /end / datavalue dataset. The bedGraph format allows display of continuous-valued data in track format. This display type is useful for probability scores and transcriptome data,,,,FALSE,fileFormat,,http://edamontology.org/format_3583
bgzip,Blocked GNU Zip format,,,,FALSE,fileFormat,,http://edamontology.org/format_3615
bigwig,bigWig format for large sequence annotation tracks that consist of a value for each sequence position,,,,FALSE,fileFormat,,http://edamontology.org/format_3006
bpm,A beaded pool manifest. Describe the SNP or probe content on a BeadChip or in an assay pool.,,,,FALSE,fileFormat,,https://support.illumina.com/datafiles.html
cel,Format of Affymetrix data file of information about (raw) expression levels of the individual probes,,,,FALSE,fileFormat,,http://edamontology.org/format_1638
chp,CHP file contains probe set analysis results generated from Affymetrix software,,,,FALSE,fileFormat,,
csv,Tabular data represented as comma-separated values in a text file,,,,FALSE,fileFormat,,http://edamontology.org/format_3752
czi,"microscopy imaging file format that saves multidimensional images such as time lapse, Z-stacks, multiposition experiments and virtual slides, combined with relevant meta information",,,,FALSE,fileFormat,,https://www.zeiss.com/microscopy/int/products/microscope-software/zen/czi.html
dat,Format of Affymetrix data file of raw image data.,,,,FALSE,fileFormat,,http://edamontology.org/format_1637
DICOM,"A comprehensive set of standards for communications between medical imaging devices, including handling, storing and transmitting information in medical imaging. It includes a file format definition and a network communication protocol.",,,,FALSE,fileFormat,,http://purl.obolibrary.org/obo/NCIT_C49059
doc,Microsoft Word document format,,,,FALSE,fileFormat,,
dup,output of the Picard MarkDuplicates tool.,,,,FALSE,fileFormat,,https://software.broadinstitute.org/gatk/documentation/tooldocs/4.0.4.0/picard_sam_markduplicates_MarkDuplicates.php
excel,Microsoft Excel spreadsheet format,,,,FALSE,fileFormat,,
fasta,"FASTA format is a text-based format for representing either nucleotide sequences or peptide sequences, in which nucleotides or amino acids are represented using single-letter codes",,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/FASTA_format
fastq,FASTQ format is a text-based format for storing both a biological sequence (usually nucleotide sequence) and its corresponding quality scores. Both the sequence letter and quality score are each encoded with a single ASCII character for brevity,,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/FASTQ_format
fig,"Line drawing saved in the Xfig format; stored as a vector image that may include lines, shapes, arcs, splines, arrows, and text objects; may also include images, colors, and patterns.",,,,FALSE,fileFormat,,https://fileinfo.com/extension/fig
flagstat,Output of samtools flagstat tool,,,,FALSE,fileFormat,,
gct,"Tab-delimited text files of GenePattern that contain a column for each sample, a row for each gene, and an expression value for each gene in each sample",,,,FALSE,fileFormat,,http://edamontology.org/format_3709
gff3,Generic Feature Format version 3 (GFF3) of sequence features.,,,,FALSE,fileFormat,,http://edamontology.org/format_1975
gtf,Gene transfer format (GTF) is a file format used to hold information about gene structure,,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/Gene_transfer_format
gzip,GZipped format,,,,FALSE,fileFormat,,http://purl.obolibrary.org/obo/NCIT_C80220
hdf,"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data",,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/Hierarchical_Data_Format
hic,Hi-C contact matrix file,,,,FALSE,fileFormat,,https://github.com/theaidenlab/juicer/wiki/Data
html,HTML format,,,,FALSE,fileFormat,,http://edamontology.org/format_2331
hyperlink,"A reference (link) from some point in one hypertext document to another document, another place in the same document, or a website.",,,,FALSE,fileFormat,,http://purl.obolibrary.org/obo/NCIT_C47919
idat,Proprietary file format for (raw) BeadArray data used by genomewide profiling platforms from Illumina Inc. This format is output directly from the scanner and stores summary intensities for each probe-type on an array.,,,,FALSE,fileFormat,,http://edamontology.org/format_3578
idx,,,,,FALSE,fileFormat,,
jpg,Joint Picture Group file format for lossy graphics file.,,,,FALSE,fileFormat,,http://edamontology.org/format_3579
json,"JavaScript Object Notation format; a lightweight, text-based format to represent tree-structured data using key-value pairs.",,,,FALSE,fileFormat,,http://edamontology.org/format_3464
locs,Illumina iScan bead location file.,,,,FALSE,fileFormat,,https://support.illumina.com/content/dam/illumina-support/documents/documentation/system_documentation/iscan/iscan-system-guide-11313539-01.pdf
maf,"Multiple Alignment Format (MAF) supporting alignments of whole genomes with rearrangements, directions, multiple pieces to the alignment, and so forth",,,,FALSE,fileFormat,,http://edamontology.org/format_3008
md,Markdown (MD) is a lightweight markup language with plain text formatting syntax,,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/Markdown
mov,A video file format with the .mov extension,,,,FALSE,fileFormat,,Sage Bioenetworks
msf,Proprietary mass-spectrometry format of Thermo Scientific's ProteomeDiscoverer software,,,,FALSE,fileFormat,,http://edamontology.org/format_3702
mtx,Matrix Market Exchange Format,,,,FALSE,fileFormat,,https://math.nist.gov/MatrixMarket/formats.html#MMformat
pdf,Portable Document Format,,,,FALSE,fileFormat,,http://edamontology.org/format_3508
plink,Any Plink file format (MAP/PED/BED/BIM/FAM),,,,FALSE,fileFormat,,https://www.cog-genomics.org/plink2/formats
png,PNG is a file format for image compression,,,,FALSE,fileFormat,,http://edamontology.org/format_3603
powerpoint,Microsoft Powerpoint slide format,,,,FALSE,fileFormat,,
Python script,"Python is an interpreted, object-oriented, high-level programming language with dynamic semantics.",,,,FALSE,fileFormat,,https://www.python.org/doc/essays/blurb/
pzfx,"A PZFX file is a Prism project created by GraphPad Prism, a scientific application used to analyze and graph data. It contains project data including graphs and layouts, notes, and tables.",,,,FALSE,fileFormat,,https://fileinfo.com/extension/pzfx
R script,R Script,,,,FALSE,fileFormat,,Sage Bionetworks
raw,Proprietary file format for mass spectrometry data from Thermo Scientific,,,,FALSE,fileFormat,,http://edamontology.org/format_3712
RData,"The RData format (usually with extension .rdata or .rda) is a format designed for use with R, a system for statistical computation and related graphics, for storing a complete R workspace or selected objects from a workspace in a form that can be loaded back by R.",,,,FALSE,fileFormat,,https://www.loc.gov/preservation/digital/formats/fdd/fdd000470.shtml
recal,.recal file from GATK VQSR,,,,FALSE,fileFormat,,https://software.broadinstitute.org/gatk/documentation/tooldocs/3.8-0/org_broadinstitute_gatk_tools_walkers_variantrecalibration_VariantRecalibrator.php#--recal_file
rmd,markdown document specific to r analyses,,,,FALSE,fileFormat,,http://rmarkdown.rstudio.com/developer_document_templates.html
sam,Sequence Alignment/Map (SAM) format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s),,,,FALSE,fileFormat,,http://edamontology.org/format_2573
sav,"The SPSS Statistics File Format is a proprietary binary format, developed and maintained as the native format for the SPSS statistical software application.",,,,FALSE,fileFormat,,https://www.loc.gov/preservation/digital/formats/fdd/fdd000469.shtml
sdf,SDF is one of a family of chemical-data file formats developed by MDL Information Systems; it is intended especially for structural information.,,,,FALSE,fileFormat,,http://edamontology.org/format_3814
seg,SEG file (segmented data; .seg or .cbs) is a tab-delimited text file that lists loci and associated numeric values,,,,FALSE,fileFormat,,https://software.broadinstitute.org/software/igv/SEG
Sentrix descriptor file,A BeadScan specific file needed to perform scan setting checks for different array formats and assay type.,,,,FALSE,fileFormat,,https://support.illumina.com/content/dam/illumina-support/documents/myillumina/dd0aff11-2664-481b-a8ce-26831a907cae/beadscan_3.0_software_addendum.pdf
sif,SIF (simple interaction file) Format - a network/pathway format used for instance in cytoscape,,,,FALSE,fileFormat,,http://edamontology.org/format_3619
sqlite,Data format used by the SQLite database.,,,,FALSE,fileFormat,,http://edamontology.org/format_3621
sra,SRA archive format (SRA) is the archive format used for input to the NCBI Sequence Read Archive.,,,,FALSE,fileFormat,,http://edamontology.org/format_3698
svg,Scalable Vector Graphics (SVG) is an XML-based vector image format for two-dimensional graphics with support for interactivity and animation.,,,,FALSE,fileFormat,,http://edamontology.org/format_3604
svs,"A single-file pyramidal tiled TIFF, with non-standard metadata and compression.",,,,FALSE,fileFormat,,https://openslide.org/formats/aperio/
Synapse Table,Table hosted at synapse.org,,,,FALSE,fileFormat,,https://docs.synapse.org/articles/tables.html
tagAlign,Tag Alignment provides genomic mapping of short sequence tags.,,,,FALSE,fileFormat,,https://genome.ucsc.edu/FAQ/FAQformat.html#format15
tar,tape archive,,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/Tar_(computing)
tif,"Tagged Image File Format, abbreviated TIFF or TIF, is a computer file format for storing raster graphics images",,,,FALSE,fileFormat,,https://en.wikipedia.org/wiki/TIFF
tranches,.tranches file from GATK VQSR,,,,FALSE,fileFormat,,https://software.broadinstitute.org/gatk/documentation/tooldocs/3.8-0/org_broadinstitute_gatk_tools_walkers_variantrecalibration_VariantRecalibrator.php#--tranches_file
tsv,Tabular data represented as tab-separated values in a text file,,,,FALSE,fileFormat,,http://edamontology.org/format_3475
txt,Textual format,,,,FALSE,fileFormat,,http://edamontology.org/format_2330
vcf,"Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation)",,,,FALSE,fileFormat,,http://edamontology.org/format_3016
wiggle,Wiggle format (WIG) of a sequence annotation track that consists of a value for each sequence position,,,,FALSE,fileFormat,,http://edamontology.org/format_3005
xml,eXtensible Markup Language (XML) format.,,,,FALSE,fileFormat,,http://edamontology.org/format_2332
zip,zip is a format standard of a digital entity that is conformant with the PKWARE .ZIP file format specification,,,,FALSE,fileFormat,,http://purl.obolibrary.org/obo/OBI_0000325
fragmentation,Specifies the mode by which MS2 and MS3 ions are generated,,,,FALSE,PsychENCODE,,
genotypeInferredAncestry,Ancestry inferred from genotype,,,,FALSE,PsychENCODE,,
GQN,Illumina gDNA quality score,,,,FALSE,PsychENCODE,,
grant,Grant number the data is being submitted for,"R01MH109677, R01MH109715, R01MH110472, R01MH110905, R01MH110920, R01MH110921, R01MH110926, R01MH110927, R01MH110928, R01MH111721, R01MH112751, R01MH117291, R01MH117292, R01MH117293, R21MH105853, R56MH114899, R56MH114901, R56MH114911, U01DA048279, U01MH103339, U01MH103340, U01MH116438, U01MH116441, U01MH116442, U01MH116487, U01MH116488, U01MH116489, U01MH116529, U01MH119509",,,FALSE,PsychENCODE,,
R01MH109677,Risk Genetic Variants and CIS Regulation of Gene Expression in Bipolar Disorder,,,,FALSE,grant,,
R01MH109715,Mapping the Role of Long Noncoding RNAs in Gene Regulatory Networks in Schizophrenia,,,,FALSE,grant,,
R01MH110472,Transcription Factor Function in Healthy and Psychiatric Disorder-Affected Brains,,,,FALSE,grant,,
R01MH110905,2/2 Measuring Translational Dynamics and the Proteome to Identify Potential Brain Biomarkers for Psychiatric Disease,,,,FALSE,grant,,
R01MH110920,1/2 Measuring Translational Dynamics and the Proteome to Identify Potential Brain Biomarkers for Psychiatric Disease,,,,FALSE,grant,,
R01MH110921,Molecular Profiling of Schizophrenia,,,,FALSE,grant,,
R01MH110926,1/3 Integrative Genomic Analysis of Human Brain Development and Autism,,,,FALSE,grant,,
